GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema CRUD,crud,Main.JavalinJackson,15,22,0,0,4,4,0,3,0,3
Sistema CRUD,crud,Main,28,148,0,0,9,23,4,3,4,3
Sistema CRUD,crud.exception,PedidoNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
Sistema CRUD,crud.exception,ValidacaoException,0,4,0,0,0,2,0,1,0,1
Sistema CRUD,crud.exception,ProdutoNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
Sistema CRUD,crud.controller,PedidoController,0,187,0,0,0,44,0,6,0,6
Sistema CRUD,crud.controller,ProdutoController,9,188,0,0,2,48,0,6,0,6
Sistema CRUD,crud.repository,ProdutoRepository,7,96,1,5,2,19,1,10,0,8
Sistema CRUD,crud.repository,PedidoRepository,2,101,1,5,0,21,1,10,0,8
Sistema CRUD,crud.service,ProdutoService,0,120,1,13,0,27,1,14,0,8
Sistema CRUD,crud.service,PedidoService,5,249,6,28,1,56,6,24,0,13
Sistema CRUD,crud.model,Produto,3,99,3,5,0,26,3,14,0,13
Sistema CRUD,crud.model,ItemPedido,0,99,1,15,0,19,1,14,0,7
Sistema CRUD,crud.model,Pedido,0,149,0,12,0,37,0,22,0,16
